ID,Credit_Card_Name,Image,Image_File,Issuer,Category,Annual_Fee,Annual_Fee_Detail,Additional_Card_Fee,Additional_Card_Detail,Purchase_Interest_Rate,Cash_Advance_Interest_Rate,Rewards_Program,Welcome_Bonus,Welcome_Bonus_Detailed,Welcome_Bonus_Value,Welcome_Bonus_Eligbility,Features,Features_Detailed,Card_Eligibility,Insurance,Product_Link
71,CIBC Aeroplan Visa Card for Students,,CIBC Aeroplan Visa Card for Students.png,CIBC,Student,$0,No Annual Fee,$0,$0 for up to 3 additional cards,20.99%,22.99%,Aeroplan Points,"Earn up to $200 in value, which includes up to 10,000 Aeroplan points!","Earn up to 10,000 Aeroplan points (up to $200 in travel
value

):
2,500 Aeroplan points when you make your first
purchase

.
2,500 Aeroplan points when you spend $1,500 or more during the first 4 monthly statements
periods

.
5,000 Aeroplan points as an additional anniversary bonus when you have at least $10,000 in net purchases posted on your account during the first 12 monthly statement
periods",up to $200,"As set out in and subject to the Aeroplan Program General Terms and Conditions located at [
aircanada.com/aeroplan-termsandconditions
Opens a new window.
], you may not be eligible for this offer or to receive any of the Welcome Bonus, Additional Bonus, or Anniversary Bonus, even if CIBC approves your application for an Account, if you have previously received a Welcome Bonus, Additional Bonus or Anniversary Bonus in connection with opening a new Aeroplan credit card account with CIBC or any other issuer of an Aeroplan credit card of the same card category type as the CIBC Account you are applying for.","1 point
for every $1 you spend on eligible gas, electric vehicle charging, groceries and with Air Canada directly, including through Air Canada Vacations.
4
1 point
for every $1.50 you spend on all other purchases.","Earn up to 10,000 Aeroplan points as a welcome bonus, 1 point per $1 spent on gas, groceries, and Air Canada purchases, plus a free first checked bag. 1 point per $1 on eligible gas, electric vehicle charging, and grocery purchases. 1 point per $1 directly with Air Canada and Air Canada Vacations. 1 point per $1 on all other purchases. Free first checked bag (up to 23kg/50lb) for the cardholder and up to 8 companions on the same flight. Access to Aeroplan preferred pricing on flight rewards and the ability to earn points twice at over 170 partnered brands. Save 3 cents per litre on fuel at Journie Rewards participating stations. Points do not expire as long as you hold this card.","Canadian students can get a credit limit of up to $5,000
1
International students can get a credit limit of up to $2,000",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-for-students.html
72,CIBC Dividend Visa Infinite Card,,CIBC Dividend Visa Infinite Card.png,CIBC,Cash Back,$120,$120 - first year rebated,$30,$30 each for up to 3 additional cards - first year rebated,20.99%,22.99%,Cash back,Earn up to $450 in value,"Earn a 10% cash back welcome bonus of up to $300 for the first 4 statements on net purchases up to $3,000

A $50 cash back bonus for setting up one pre-authorized payment within the first 4
monthly statements

Plus, get a first-year annual fee rebate valued
at $120",$450,"CIBC may approve your application, but you are not eligible to receive this Offer if you have opened, transferred or cancelled another Dividend card within the last 12 months.","4% cash back on eligible gas, electric vehicle charging, and groceries. 2% cash back on transportation, dining, recurring payments and eligible travel purchases made through CIBC by Expedia. 1% cash back on everything else.","Earn 4% cash back on purchases (less returns) at merchants classified by the credit card network as (i) grocery stores and supermarkets or (ii) gas service stations, automated fuel dispensers and electric vehicle charging with a merchant category code of MCC 5552. Earn 2% cash back on purchases (less returns) at merchants classified by the credit card network as (i) local and suburban commuter transportation in Canada including subway, streetcar, taxi, limousine and ride sharing services (excludes merchants that may be classified as travel services or travel bookings such as air transport, car rentals and cruises), (ii) eating places and restaurants, drinking places and fast food restaurants, (iii) recurring payments that are pre-authorized with a merchant to occur on a regular schedule (e.g. daily, monthly or annually) and classified by the merchant as recurring, or (iv) eligible purchases made through CIBC by Expedia excluding taxes, insurance, service charges or similar items. All other purchases earn 1% cash back.","$60,000 individual, or $100,000 household minimum annual income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-infinite-card.html
73,CIBC Dividend Platinum Visa Card,,CIBC Dividend Platinum Visa Card.png,CIBC,Cash Back,$99,$99 - first year rebated,$30,$30 each for up to 3 additional cards - first year rebated,20.99%,22.99%,Cash back,Earn up to $400 in value,"Earn a 10% cash back welcome bonus of up to $300 for the first 4 statements on net purchases up to $3,000. A $50 cash back bonus for setting up one pre-authorized payment within the first 4 monthly statements. Plus, get a first-year annual fee rebate valued at $99.",$400,"Offer applies to newly approved card accounts only. Transfers and product changes from other CIBC credit cards are excluded from this offer. CIBC may approve your application, but you are not eligible to receive this Offer if you have opened, transferred or cancelled another Dividend card within the last 12 months.","3% cash back on eligible gas, electric vehicle charging, and groceries. 2% cash back on transportation, dining, recurring payments and eligible travel purchases made through CIBC by Expedia. 1% cash back on everything else.","Earn 3% cash back on purchases (less returns) at merchants classified by the credit card network as (i) grocery stores and supermarkets or (ii) gas service stations, automated fuel dispensers and electric vehicle charging with a merchant category code of MCC 5552. Earn 2% cash back on purchases (less returns) at merchants classified by the credit card network as (i) local and suburban commuter transportation in Canada including subway, streetcar, taxi, limousine and ride sharing services (excludes merchants that may be classified as travel services or travel bookings such as air transport, car rentals and cruises), (ii) eating places and restaurants, drinking places and fast food restaurants, (iii) recurring payments that are pre-authorized with a merchant to occur on a regular schedule (e.g. daily, monthly or annually) and classified by the merchant as recurring or (iv) eligible purchases made through CIBC by Expedia excluding taxes, insurance, service charges or similar items. All other purchases earn 1% cash back.","$15,000 minimum annual household income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-platinum-card.html
74,CIBC Dividend Visa Card,,CIBC Dividend Visa Card.png,CIBC,Cash Back,$0,No Annual Fee,$0,$0 for up to 3 additional cards,20.99%,22.99%,Cash back,N/A,N/A,N/A,N/A,"2%
cash back on groceries.
1%
cash back on eligible gas, electric vehicle charging, transportation, dining, recurring payments and eligible travel purchases made through CIBC by Expedia.
0.5%
cash back on everything else.","Earn 2% cash back on purchases (less returns) at merchants classified by the credit card network as grocery stores and supermarkets. Earn 1% cash back on purchases (less returns) at merchants classified by the credit card network as (i) gas service stations, automated fuel dispensers, and electric vehicle charging with a merchant category code of MCC 5552 (ii) local and suburban commuter transportation in Canada including subway, streetcar, taxi, limousine and ride sharing services (excludes merchants that may be classified as travel services or travel bookings such as air transport, car rentals and cruises), (iii) eating places and restaurants, drinking places and fast food restaurants, (iv) recurring payments that are pre-authorized with a merchant to occur on a regular schedule (e.g. daily, monthly or annually) and classified by the merchant as recurring or (v) eligible purchases made through CIBC by Expedia excluding taxes, insurance, service charges or similar items. All other purchases earn 0.5% cash back.","$15,000 minimum annual household income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-card.html
75,CIBC Dividend Visa Card for Students,,CIBC Dividend Visa Card for Students.png,CIBC,Student,$0,No Annual Fee,$0,$0 for up to 3 additional cards,20.99%,22.99%,Cash back,Earn up to $125 cash back,"Get $25 cash back after you make your first purchase within the first 4 monthly statement periods. Plus, you will receive 10% cash back on the net purchases posted to your account within the first 4 monthly statement periods or $1,000 in total net purchases (equal to $100 cash back), whichever comes first.",$125,"CIBC may approve your application, but you are not eligible to receive this Offer if you have opened, transferred or cancelled another Dividend card within the last 12 months.","2% cash back on groceries. 1% cash back on eligible gas, electric vehicle charging, transportation, dining, recurring payments and eligible travel purchases made through CIBC by Expedia. 0.5% cash back on everything else.","Earn 2% cash back on purchases (less returns) at merchants classified by the credit card network as grocery stores and supermarkets. Earn 1% cash back on purchases (less returns) at merchants classified by the credit card network as (i) gas service stations, automated fuel dispensers, and electric vehicle charging with a merchant category code of MCC 5552 (ii) local and suburban commuter transportation in Canada including subway, streetcar, taxi, limousine and ride sharing services (excludes merchants that may be classified as travel services or travel bookings such as air transport, car rentals and cruises), (iii) eating places and restaurants, drinking places and fast food restaurants, (iv) recurring payments that are pre-authorized with a merchant to occur on a regular schedule (e.g. daily, monthly or annually) and classified by the merchant as recurring	or (v) eligible purchases made through CIBC by Expedia excluding taxes, insurance, service charges or similar items. All other purchases earn 0.5% cash back.","No minimum income requirement
Canadian students can get a credit limit of up to $5,000
International students can get a credit limit of up to $2,000",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/dividend-visa-for-students.html
76,CIBC Costco Mastercard,,CIBC Costco Mastercard.png,CIBC,Cash Back,$0,No Annual Fee,$0,up to 3,20.75%,22.49%,cash back,Join and earn a $100 Welcome Bonus!,"You'll receive a $100 statement credit when $3,000 or more is spent within 120 days from the day your account was opened.",$100,An active Costco membership is required to apply for either card.,"3% cash back at restaurants and at Costco gas.
2% cash back at other gas stations, electric vehicle charging stations and at
Costco.ca.
1% cash back on all other purchases including at Costco.","Earn 3% on purchases (less returns) at merchants classified in the credit card network as Costco gas stations within Canada and 2% on purchases (less returns) at merchants classified in the credit card network as gas merchants and electric vehicle charging with a merchant category code of MCC 5552 on the first $5,000 net annual card purchases in this category on your account. After that, net card purchases at all gas merchants, including Costco, and electric vehicle charging with a merchant category code of MCC 5552 will earn 1% in Cash Back Rewards. Earn 2% on purchases (less returns) classified in the credit card network as
Costco.ca
purchases on the first $8,000 net annual card purchases in this category on your account. After that, net card purchases at
Costco.ca
will earn 1% in Cash Back Rewards. Purchases at merchants classified in the credit card network as restaurants will earn 3% and all other qualifying purchases will earn 1% in Cash Back Rewards. The $5,000 and $8,000 limit will reset to zero annually on January 1.","Minimum annual income of $15,000 is required to qualify for the CIBC Costco Mastercard.",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/costco-mastercard.html
77,CIBC U.S. Dollar Aventura Gold Visa Card,,CIBC U.S. Dollar Aventura Gold Visa Card.png,CIBC,US,$35 USD,$35 US,$0,$0 for up to 3 additional cards,20.99%,22.99%,Aventura Points,"Earn up to 2,500 Aventura Points","If you apply and are approved for a new U.S. Dollar Aventura

Gold Visa
*
, you can receive up to 2,500 Aventura Points:
a) Up to 2,500 bonus Aventura Points for completing the below activities within 60 days of your CIBC Aventura Visa* account approval. The following activities are worth 500 Aventura Points each: 1. Share your email address with CIBC; 2. Sign up for eStatements for your new Aventura Visa card; 3. Add an authorized user on your new Aventura Visa card; 4. Hold any eligible CIBC Chequing Account; and 5. Add your Aventura Visa card with Apple Pay or Samsung Pay or Google Pay.",Approximately $25 (charity) to $50+ (specific gift cards or low-value flights),"CIBC may approve your application, but you are not eligible to receive this Offer if you have opened, transferred or cancelled another Aventura card within the last 12 months.","1 point for every $1 spent on eligible travel purchased through the
CIBC Rewards Centre
Opens in a new window.
2
(CIBC by Expedia
3
)
CIBC Rewards Centre
1 point
for every $2 spent on all other purchases","1 point for every $1 spent on eligible travel purchased through the
CIBC Rewards Centre
Opens in a new window.
2
(CIBC by Expedia
3
)
CIBC Rewards Centre
1 point
for every $2 spent on all other purchases","$15,000 minimum annual household income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/us-dollar-aventura-gold-visa-card.html
78,CIBC Select Visa Card,,CIBC Select Visa Card.png,CIBC,Low Interest,$29,"$29 -
first year rebated",$0,"$0
for up to 3 additional cards",13.99%,13.99%,N/A,"Transfer your credit card balance of $100 or more - get 0% interest for up to 10 months with a 1% transfer fee

and a first year annual fee rebate",Transfer your credit card balance and get 0% interest for up to 10 months with a 1% transfer fee. Transfer up to 50% of your assigned credit limit.,,,"Fuel up for less, with up to 10 cents off per litre

Link and use your Journie Rewards card to save on every fill-up at participating Pioneer, Fas Gas, Ultramar and Chevron gas stations.
Send money abroad
There are no transaction fees when you send a CIBC Global Money Transfer
,
3
. Also, you won't be charged interest, as long as you pay your balance by the payment due date.","Link and use your Journie Rewards card to save on every fill-up at participating Pioneer, Fas Gas, Ultramar and Chevron gas stations. Send money abroad There are no transaction fees when you send a CIBC Global Money Transfer","$15,000 minimum annual household income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/select-visa-card.html
79,MBNA True Line Mastercard,,MBNA True Line Mastercard.png,MBNA,Low Interest,$0,No Annual Fee,no additional annual fee,Add up to 9 authorized users with no additional annual fee for each added authorized user.,12.99%,24.99%,N/A,"You could get a 0% promotional annual interest rate (""AIR"") for 12 months on balance transfers completed within 90 days of account opening.","You could get a 0% promotional annual interest rate (""AIR"") for 12 months on balance transfers completed within 90 days of account opening.","You could get a 0% promotional annual interest rate (""AIR"") for 12 months on balance transfers completed within 90 days of account opening",,Use available credit on your credit card to transfer funds right to your chequing account. The MBNA Payment Plan can make it more convenient to pay for large purchases and manage your budget.,"Use available credit on your credit card to transfer funds right to your chequing account. Add up to 9 authorized users with no additional annual fee for each added authorized user. The MBNA Payment Plan can make it more convenient to pay for large purchases and manage your budget. Pay for eligible credit card purchases of $100 or over by making monthly payments. Choose from three Payment Plan terms: 6, 12 or 18 months. Conditions and fees apply.",You are a Canadian resident and are of the age of majority in your province/territory of residence,,https://www.mbna.ca/en/credit-cards/low-interest/true-line-mastercard
80,MBNA True Line Gold Mastercard,,MBNA True Line Gold Mastercard.png,MBNA,Low Interest,$39,Low Annual Fee of $39.,no additional annual fee,Add up to 9 authorized users with no additional annual fee for each added authorized user.,10.99%,24.99%,N/A,"As of early 2026, the MBNA True Line Gold Mastercard does not feature a specific welcome bonus (e.g., points or cashback).",,($39),You must be a Canadian resident and have reached the age of majority in your province/territory. There are no minimum personal or household income requirements to apply.,"Low Interest Rates: 10.99% standard interest rate on eligible purchases, 13.99% on balance transfers, and 24.99% on cash advances. Rewards: None.","Low Interest Rates: 10.99% standard interest rate on eligible purchases, 13.99% on balance transfers, and 24.99% on cash advances. Rewards: None. This card is focused on saving on interest rather than earning rewards.",You are a Canadian resident and are of the age of majority in your province/territory of residence,,https://www.mbna.ca/en/credit-cards/low-interest/true-line-gold-mastercard
81,MBNA Rewards Platinum Plus Mastercard,,MBNA Rewards Platinum Plus Mastercard.png,MBNA,Rewards,$0,No Annual Fee,,,19.99%,24.99%,MBNA Rewards Points,"5,000 bonus points","5,000 bonus points

($25 in cash back value) after you make $500 or more in eligible purchases within the first 90 days of your account opening and 5,000 bonus points

($25 in cash back value) once enrolled for paperless e-statements within the first 90 days of account opening.",$50,,"Earn 4 points on every $1 spent on eligible restaurant, grocery, digital media, membership, and household utility purchases during the first 90 days (2 points per dollar thereafter), up to $10,000 annual spend per category. Earn 1 point for every $1 spent on all other eligible purchases","Earn 4 points on every $1 spent on eligible restaurant, grocery, digital media, membership, and household utility purchases during the first 90 days (2 points per dollar thereafter), up to $10,000 annual spend per category. Earn 1 point for every $1 spent on all other eligible purchases",Open to Canadian residents who are of the age of majority in their province/territory of residence.,,https://www.mbna.ca/en/credit-cards/rewards/mbna-rewards-mastercard
82,MBNA Rewards World Elite Mastercard,,MBNA Rewards World Elite Mastercard.png,MBNA,Rewards,$120,$120,$50,$50,19.99%,24.99%,MBNA Rewards Points,"Earn up to 30,000 bonus MBNA Rewards Points","Welcome bonus of 20,000 points will be awarded if $2,000 in eligible Purchases are made on your Account within the first 90 days of account opening that are not subsequently rescinded, the subject of a charge back request(s) or otherwise disputed. In order to obtain a ""Paperless Bonus"" of 10,000 bonus points, you must enroll in online banking at www.mbna.ca and consent to Paperless Statements for the account within the first 90 days of account opening, and not subsequently rescind such enrollment throughout this period.",approximately $165 in cash back value,This offer is not available to residents of Quebec.,"Earn 5 points for every $1 spent on eligible restaurant, grocery, digital media, membership, and household utility purchases until $50,000 is spent annually in the applicable category. 1 point for every $1 on all other eligible purchases. Each year, you will receive Birthday Bonus Points equal to 10% of the total number of Points the Account earned in the 12 months before the month of the primary cardholder's birthday, to a maximum Birthday Bonus each year of 15,000 Points.","Points will be awarded on eligible transactions charged to your account as set out in the Program terms and conditions. The account will earn five (5) points per dollar spent on eligible restaurant, grocery, digital media, membership, and household utility purchases until you spend $50,000 annually (per calendar year) in the applicable category. Other eligible purchases will earn a Base Earn Rate of one (1) point per dollar. Each year, the account will receive Birthday Bonus Points equal to 10% of the total number of Points the account earned in the 12 months before the month of the primary cardholder's birthday, to a maximum Birthday Bonus each year of 15,000 Points. The Birthday Bonus Points will be added to the account before the end of the primary cardholder's birthday month.","Open to Canadian residents who are of the age of majority in their province/territory of residence. Your personal annual income must be greater than $80,000, or your household annual income must be $150,000 or greater",,https://www.mbna.ca/en/credit-cards/rewards/mbna-rewards-world-elite-mastercard
83,MBNA Smart Cash Platinum Plus Mastercard,,MBNA Smart Cash Platinum Plus Mastercard.png,MBNA,Cash Back,$0,No Annual Fee,no additional annual fee,Add up to 9 authorized users with no additional annual fee for each added authorized user,19.99%,24.99%,Cash Back,Earn 5% Cash Back on gas and groceries for the first 6 months,Earn 5% Cash Back on eligible gas and groceries purchases for the first 6 months ($500 monthly spend cap),Earn 5% Cash Back on gas and groceries for the first 6 months (until the total gas and grocery purchases in the applicable month reaches $500). Up to $150,,Earn 2% on gas and groceries thereafter ($500 monthly spend cap). Get 0.5% Cash Back on all other eligible purchases,Earn 2% cash back on up to $500 in monthly gas and groceries and also has a great insurance benefits.,Open to Canadian residents who are of the age of majority in their province/territory of residence.,,https://www.mbna.ca/en/credit-cards/cash-back/smart-cash-mastercard
84,MBNA Smart Cash World Mastercard,,MBNA Smart Cash World Mastercard.png,MBNA,Cash Back,$39,Low Annual Fee of $39,no additional annual fee,Add up to 9 authorized users with no additional annual fee for each added authorized user,19.99%,24.99%,Cash Back,Earn 5% Cash Back on gas and groceries for the first 6 months,Earn 5% Cash Back on eligible gas and groceries purchases for the first 6 months ($500 monthly spend cap),Earn 5% Cash Back on gas and groceries for the first 6 months (until the total gas and grocery purchases in the applicable month reaches $500).,"Requires a personal annual income > $50,000 or household income  $80,000. Available to Canadian residents of legal age.",Earn 2% on gas and groceries thereafter ($500 monthly spend cap). Earn 1% Cash Back on all other eligible purchases,"Gas & Groceries: 5% for 6 months (up to $500/month), then 2% thereafter. Other Purchases: 1% cash back. Includes Rental Vehicle Collision Damage Waiver Benefits. Up to 9 authorized users with no additional annual fee.","Your personal annual income must be greater than $50,000, or your household annual income must be $80,000 or greater",,https://www.mbna.ca/en/credit-cards/cash-back/smart-cash-world-mastercard
85,Amazon.ca Rewards Mastercard,,Amazon.ca Rewards Mastercard.png,MBNA,Rewards,$0,No Annual Fee,$0,"Authorized users can be added to the account to help earn rewards faster, but they do not receive separate, individual welcome bonuses.",19.99%,22.99%,Amazon Rewards Points,"Get 5% back at Amazon.ca, Whole Foods Market stores in Canada, grocery stores and restaurants!","Get 5% back at Amazon.ca, Whole Foods Market stores, grocery stores, and restaurants for 6 months after approval, on first $3,000 in eligible purchases.",up to $150,"To be eligible, you must be a Canadian resident and of the age of majority in your province/territory of residence.","Earn rewards on all your eligible purchases at Amazon.ca -including Whole Foods Market stores in Canada! After the welcome offer ends, eligible Prime members get 2.5% back on eligible purchases at Amazon.ca and Whole Foods Market stores. Eligible Prime members always get 2.5% back on eligible foreign currency transactions to help cover foreign transaction fees. Not a Prime member? After the welcome offer ends, get 1.5% back on eligible purchases at Amazon.ca and Whole Foods Market stores. Always get 1% back on eligible foreign currency transactions to help cover foreign transaction fees. Always get 1% back on eligible purchases everywhere else Mastercard is accepted.","Earn rewards on all your eligible purchases at Amazon.ca -including Whole Foods Market stores in Canada!
After the welcome offer ends, eligible Prime members get 2.5% back on eligible purchases at Amazon.ca and Whole Foods Market stores.
Eligible Prime members always get 2.5% back on eligible foreign currency transactions to help cover foreign transaction fees.
Not a Prime member? After the welcome offer ends, get 1.5% back on eligible purchases at Amazon.ca and Whole Foods Market stores.
Always get 1% back on eligible foreign currency transactions to help cover foreign transaction fees.
Always get 1% back on eligible purchases everywhere else Mastercard is accepted.",Open to Canadian residents who are of the age of majority in their province/territory of residence.,,https://www.mbna.ca/en/credit-cards/retail-store/amazon-rewards-mastercard
86,Rogers Red Mastercard,,Rogers Red Mastercard.png,Rogers,Rewards,$0,No Annual Fee,$0,$0,20.99%,22.99%,Cash back,N/A,N/A,N/A,N/A,"Earn 2% cash back on all eligible purchases if you have 1 qualifying service with Rogers, Fido, Shaw or Comwave. Earn 2% cash back on U.S. dollar purchases. Get 5 Roam like Home days on us, every year, with an eligible Rogers mobile plan.","Earn 2% cash back on all eligible purchases if you have 1 qualifying service with Rogers, Fido, Shaw or Comwave.
Otherwise Earn 1% cash back on eligible purchases.
Earn 2% cash back on all eligible purchases made in U.S. dollars.
Get 5 Roam like Home days on us, every year, with an eligible Rogers mobile plan.",Subject to credit approval,,https://www.rogersbank.com/en/rogers_red_mastercard_details
87,Rogers Red World Elite Mastercard,,Rogers Red World Elite Mastercard.png,Rogers,Rewards,$0,No Annual Fee,$0,$0,20.99%,22.99%,Cash back,N/A,"As of February 2026, the Rogers Red World Elite Mastercard does not offer a traditional upfront sign-up or welcome bonus (e.g., points or cash back for hitting a spend target).",N/A,N/A,"Earn 2% cash back on eligible purchases if you have 1 qualifying service with Rogers, Fido, Shaw or Comwave. Otherwise Earn 1.5% cash back on eligible purchases. Earn 3% cash back on U.S. dollar purchases. Get a 1.5x redemption bonus when you use your cash back for eligible Rogers, Fido, Shaw or Comwave purchases.","Earn 2% cash back on eligible purchases if you have 1 qualifying service with Rogers, Fido, Shaw or Comwave.
Otherwise
Earn 1.5% cash back on eligible purchases
Earn 3% cash back on U.S. dollar purchases
Get a 1.5x redemption bonus when you use your cash back for eligible Rogers, Fido, Shaw or Comwave purchases.","Subject to credit assessment and income verification
Minimum annual income requirement of $80,000 personal or $150,000 household",,https://www.rogersbank.com/en/rogers_red_worldelite_mastercard_details
88,Triangle Mastercard,,Triangle Mastercard.png,Canadian Tire,Rewards,$0,No Annual Fee,$0,There is no fee for additional (supplementary) cards. Primary cardholders can request supplementary cards for family members to help the household earn rewards faster.,21.99%,22.99%,Canadian Tire Money,,"To receive the $150 bonus, you must apply online for a new Triangle Mastercard, be approved, and make a qualifying purchase (in-store or online) within 30 days at participating retailers (Canadian Tire, Sport Chek, Mark's, etc.).",$150 in bonus CT Money,The offer is for new Triangle credit card members only. You must apply online at triangle.com/150ctmoney to be eligible. You must be approved and make a qualifying purchase within 30 days.,"Earn 4% back in Canadian Tire Money on almost everything at your favourite stores. Plus, enjoy 5 per litre back in CT Money at Gas+ and Petro-Canada locations. 1.5% At Grocery Stores. 0.5% Everywhere Else","Earn CT Money on almost everything at Canadian Tire, Sport Chek, Mark's, L'Equipeur, Party City, Pro Hockey Life, Atmosphere, Sports Rousseau, Hockey Experts, L'Entrepot du Hockey, and participating Sports Experts stores. Earn CT Money when you stock up on groceries (on the first $12,000 per year; excludes Costco and Walmart). Earn CT Money everytime you fill up at Gas+ and Petro-Canada locations. Earn CT Money everywhere else you shop.","In order to begin your application for a Triangle Mastercard, you must be a Canadian resident and the age of majority in your province.",,https://www.ctfs.com/content/ctfs3/en/credit_cards.html
89,Triangle World Elite Mastercard,,Triangle World Elite Mastercard.png,Canadian Tire,Rewards,$0,No Annual Fee,no fee,"Authorized users (additional cardholders) can be added to the account, allowing them to earn Canadian Tire Money (CT Money) on their own purchases, which all aggregate under the primary account holder's balance.",21.99%,22.99%,Canadian Tire Money,"The Triangle World Elite Mastercard typically does not feature a standard, guaranteed welcome bonus, unlike the base Triangle Mastercard which sometimes offers $150 in bonus CT Money.","If a targeted or limited-time promotional offer is available, it is usually restricted to new applicants who have not previously held a Triangle credit card, with requirements to activate the card and make a qualifying purchase within a specified timeframe (e.g., 30 days).",,"If a targeted or limited-time promotional offer is available, it is usually restricted to new applicants who have not previously held a Triangle credit card","4% At Your Favourite Stores, 3% At Grocery Stores, 5 - 7 Per Litre, 1% Everywhere Else","Earn CT Money on almost everything at Canadian Tire, Sport Chek, Mark's, L'Equipeur, Party City, Pro Hockey Life, Atmosphere, Sports Rousseau, Hockey Experts, L'Entrepot du Hockey, and participating Sports Experts stores. Earn CT Money when you stock up on groceries (on the first $12,000 per year; excludes Costco and Walmart). Collect 7 per litre in CT Money on premium fuel, and 5 per litre on all other fuel types when you fill up at Gas+ and Petro-Canada locations. Earn CT Money everywhere else you shop.","Minimum $80,000 annual income or $150,000 household income is required.",,https://www.ctfs.com/content/ctfs3/en/triangle_world_elite_mastercard.html
90,PC Mastercard,,PC Mastercard.png,Loblaws,Rewards,$0,No Annual Fee,Free,Free,21.99%,22.97%,PC Optimum Points,Get $20 in PC Optimum points*,"New cardholders typically receive 20,000 PC Optimum points ($20 value) upon approval.",$20 value,Subject to credit approval and other eligibility criteria.,"1% back in points
at our grocery stores
At least 3 / litre back in points
at Esso and Mobil stations
2.5% back in points
at Shoppers Drug Mart and Pharmaprix
1% back in points
at Joe Fresh
1% back in points
on dining, transit and everywhere else","Grocery: 1% back in points ($10 per $1,000 spent) at PC-affiliated stores.
Pharmacy: 2.5% back in points at Shoppers Drug Mart and Pharmaprix.
Fuel: Minimum 3 cents/litre back in points at Esso and Mobil stations.
Other Purchases: 1% back in points on dining, transit, and all other purchases.",Subject to credit approval and other eligibility criteria.,,https://www.pcfinancial.ca/en/credit-cards/pc-mastercard/
91,PC Insiders World Elite Mastercard,,PC Insiders World Elite Mastercard.png,Loblaws,Rewards,$120,First year annual fee waived*,Free,Free,21.99%,22.97%,PC Optimum Points,No annual fee for your first year!,We'll waive the $120 annual fee for your first year.,"up to 150,000 PC Optimum points (valued at $150 in groceries) after spending $3,000 within the first 4 months.",,"4% back in points at our grocery stores and an additional 2% on eligible pickup orders. Up to 7 per litre back in points at Esso TM and Mobil TM stations. 5% back in points at Shoppers Drug Mart and Pharmaprix. 4% back in points at Joe Fresh stores. 1% back in points on dining, transit, and everywhere else","Groceries: 40 points per $1 at Loblaw banner stores (Real Canadian Superstore, Loblaws, No Frills, etc.).Shoppers Drug Mart: 50 points per $1.Gas: Up to 7 cents per litre in points at Esso and Mobil stations (50 points/L).Everywhere Else: 10 points per $1.","Minimum $80,000 (personal) or $150,000 (household) annual income required. Subject to credit approval and other eligibility criteria.",,https://www.pcfinancial.ca/en/credit-cards/insiders/
92,National Bank World Elite Mastercard,,,National Bank,Travel,$150,$150 per year (Rebated first year),$50,$50 for first additional card,20.99%,22.49%,Ala Carte Rewards,"Up to 40,000 points","Earn up to 40,000 reward points. First year annual fee rebated.",~$400 value,New cardholders only,"5x points on Grocery/Restaurant, $150 Annual Travel Credit, Travel Insurance","Earn 5 points/$1 on grocery and restaurant purchases (up to $2,500/mo). Earn 2 points/$1 on gas, electric charging, recurring bills, and Ala Carte travel. $150 annual travel expense refund (seat selection, baggage, lounge). Comprehensive travel insurance up to 60 days.","$80,000 personal or $150,000 household income","Comprehensive Travel (60 days), Mobile Device, Purchase Protection",https://www.nbc.ca/personal/mastercard-credit-cards/world-elite.html
93,Tangerine Money-Back Credit Card,,,Tangerine,Cash Back,$0,No Annual Fee,Free Authorized Users (x5),No fee for authorized users,20.95%,22.95%,Money-Back Rewards,10% Cash Back (up to $100),"Earn 10% cash back on up to $1,000 in everyday purchases within the first 2 months.",100,New cardholders only,2% Cash Back in 2 categories (3 with Savings Account),Earn 2% Money-Back Rewards on your purchases in two 2% Money-Back Categories of your choice. Get a third 2% category when you deposit your rewards into a Tangerine Savings Account. Earn 0.5% on all other purchases.,"$12,000 personal income","Purchase Assurance, Extended Warranty",https://www.tangerine.ca/en/personal/spend/credit-cards/money-back-credit-card
94,Tangerine World Mastercard,,,Tangerine,Cash Back,$0,No Annual Fee,$0,No fee for authorized users,20.95%,22.95%,Money-Back Rewards,10% Cash Back (up to $100),"Earn 10% cash back on up to $1,000 in everyday purchases within the first 2 months.",100,New cardholders only,2% Cash Back in categories + Mobile Device Insurance + Rental Car Insurance,"Earn 2% Money-Back Rewards in two categories (3 with Savings Account). Includes Mobile Device Insurance, Rental Car Collision/Loss Damage Insurance, and Mastercard Airport Experiences (LoungeKey).","$60,000 personal or $100,000 household income","Mobile Device, Rental Car, Purchase Assurance, Extended Warranty",https://www.tangerine.ca/en/personal/spend/credit-cards/world-credit-card
